rank,startup,startup_logo,sr_score,description,location,
1,Medium,https://files.startupranking.com/startup/thumb/21778_ad3f7bc283fcef3843cf1b9a0f525ddbedd0fa9d_medium_s.png,90909,"Read, write and share stories that matter
                         -                                         Everyone’s stories and ideas. Move thinking forwar ...",United States,
2,500px,https://files.startupranking.com/startup/thumb/24407_b97fa544c948309524568671648d1bee0b483c3d_500px_s.png,90459,"The Premier Photography Community
                         -                                         We're the premier community for inspiring photogra ...",Canada,
3,Prezi,https://files.startupranking.com/startup/thumb/364_5bbfdce38b97d0894bd8f162ffbe628e5fabb449_prezi_s.png,89782,"Presentation Software - Online Presentation Tools
                         -                                         Prezi - At Prezi, we're all about helping people u ...",Hungary,
4,Quora,https://files.startupranking.com/startup/thumb/17380_f82574a764fb6f7fea8cfe807f32610842d08069_quora_s.png,89681,"A place to share knowledge and better understand t
                         -                                         Quora connects you to everything you want to know  ...",United States,
5,Giphy,https://files.startupranking.com/startup/thumb/1028_7e539189f8e9e52148ae8eff677c1107e8c56eb5_giphy_s.jpg,89665,"Search and make GIFs
                         -                                         Animated GIF search. The first and largest GIF sea ...",United States,
6,Fiverr,https://files.startupranking.com/startup/thumb/664_3e60bc67d4a233f1153ff343073a83e280d73ff7_fiverr_s.png,88997,"Freelance Services Marketplace for Entrepreneurs
                         -                                         On Fiverr you can surf through a wide variety of c ...",Israel,
7,Freelancer,https://files.startupranking.com/startup/thumb/53296_ea0c3313e421b75ba41dc379f4ce02fc2bef1e2f_freelancer_s.jpg,88437,"Over 25 Million Lives Changed!
                         -                                         Freelancer is the world's largest freelancing & cr ...",Australia,
8,Coursera,https://files.startupranking.com/startup/thumb/1934_357ac1dd29713745e6211575e619fffa3b2404e8_coursera_s.jpeg,88397,"Free Online Courses From Top Universities
                         -                                         Coursera - We are a social entrepreneurship compan ...",United States,
9,Duolingo,https://files.startupranking.com/startup/thumb/551_a68704ad8707239cee2174b0048830bc119d4234_duolingo_s.png,88362,"Learn Spanish, French and other languages for free
                         -                                         Free language education for the world. According t ...",Guatemala,
10,Buffer,https://files.startupranking.com/startup/thumb/1837_a66dceb599daf0deab9ac6bd6b4fbefad184afc7_buffer_s.png,88218,"A Smarter Way to Share on Social Media
                         -                                         Buffer is the easiest way to share the great links ...",United States,
11,WeTransfer,https://files.startupranking.com/startup/thumb/1598_3109336bf59b101a197fee0622aa10cb0bb0dd52_wetransfer_s.png,88112,"Cloud-based file transfer service
                         -                                         WeTransfer - Send files without the complications  ...",Netherlands,
12,Coinbase,https://files.startupranking.com/startup/thumb/21951_f0fb8660b58c04dbcbc4f21cefbb8f853f650124_coinbase_s.png,88095,"BUY AND SELL DIGITAL CURRENCY
                         -                                         Coinbase is a digital wallet that allows you to se ...",United States,
13,Ranker,https://files.startupranking.com/startup/thumb/1575_9a20aeaecf00d337ebe776446c86cf4df05cd976_ranker_s.jpg,87992,"Vote on everything
                         -                                         Ranker is your destination for votable lists about ...",United States,
14,Teespring,https://files.startupranking.com/startup/thumb/22137_0cbeee39f6f5638fb15e412c0d14f025946c4dff_teespring_s.png,87884,"Find something made for you
                         -                                         Teespring is a platform that makes it easy for any ...",United States,
15,Canva,https://files.startupranking.com/startup/thumb/9935_79fd9fa89f3a5157c1ef3e259ccbed28bc5788d0_canva_s.png,87741,"Amazingly Simple Graphic Design Software
                         -                                         Amazingly simple graphic design. Canva makes graph ...",Australia,
16,Stripe,https://files.startupranking.com/startup/thumb/24138_b0c748e39571af5dfe13ed6c43f5f032697cd82f_stripe_s.png,87582,"Accept and manage online payments
                         -                                         Stripe is a suite of APIs that powers commerce for ...",United States,
17,CloudFlare,https://files.startupranking.com/startup/thumb/25286_094a936fac11515f99cd83a181beeec7577b3ca1_cloudflare_s.jpg,87570,"The Web Performance & Security Company
                         -                                         CloudFlare makes sites twice as fast, protects the ...",United States,
18,GitLab,https://files.startupranking.com/startup/thumb/24082_0bc83861b4c8789b1d57923e8870ec42905e3080_gitlab_s.png,87487,"Code, test, and deploy together
                         -                                         GitLab is an open-source code collaboration platfo ...",Netherlands,
19,TransferWise,https://files.startupranking.com/startup/thumb/4543_ad77b212ff18ea15f2b1002c913aa8d07855e3da_transferwise_s.png,87413,"Transfer Money Online, Send Money Abroad
                         -                                         TransferWise lets expats, foreign students and bus ...",United Kingdom,
20,Strava,https://files.startupranking.com/startup/thumb/24129_b3637a3b94ac4059afe5f8ae228904acad4e19b1_strava_s.png,87281,"Run and Cycling Tracking on a Social Network
                         -                                         Online network for athletes. Strava is the Swedish ...",United States,
21,AngelList,https://files.startupranking.com/startup/thumb/14167_1024006cb246b8de80447c6fc7fb41de9412f1e2_angellist_s.png,87279,"Where the world meets startups
                         -                                         AngelList - Badass platform for startups. Raise mo ...",United States,
22,Ecosia,https://files.startupranking.com/startup/thumb/24152_cf9b5bf4301d2abf8aecf3b5fdcdb2e118405323_ecosia_s.png,87177,"Search the web to plant trees...
                         -                                         Ecosia is the search engine that plants trees!

 ...",Germany,
23,Telegram,https://files.startupranking.com/startup/thumb/7063_071e732516933615a427a5961d0f4f13043a1a16_telegram_s.png,87131,"A new era of messaging
                         -                                         Telegram is the world's fastest and most secure me ...",Russia,
24,WeChat,https://files.startupranking.com/startup/thumb/2169_2ccec1bf92b6cee7569044fe5935ce73b4c9de08_wechat_s.jpg,87085,"Free messaging and calling app
                         -                                         WeChat puts all of your social needs at your finge ...",China,
25,Zoosk,https://files.startupranking.com/startup/thumb/20624_bc75a8ce6745f02e76bda2ef6dca21fae977337d_zoosk_s.png,87023,"Online Dating Site - Dating Apps
                         -                                         Zoosk is the #1 dating app. Our Behavioral Matchma ...",United States,
26,ResearchGate,https://files.startupranking.com/startup/thumb/280_0eebf0aa5b6ba094e42a19a41c2de9309ed72106_researchgate_s.png,86731,"Share and discover research
                         -                                         ResearchGate was built by scientists, for scientis ...",Germany,
27,Skillshare,https://files.startupranking.com/startup/thumb/784_991b53a4760fbb289a6d28bffa01a2065d1f6a6d_skillshare_s.png,86728,"A learning community for creators
                         -                                         Skillshare is a global community where you can lea ...",United States,
28,DoorDash,https://files.startupranking.com/startup/thumb/22136_ba16d7ef397341a701442443c83c9e2adafc047c_doordash_s.png,86723,"DoorDash enables small businesses to provide its customers with local delivery services.
                         -                                         DoorDash - Delightful food delivery in San Francis ...",United States,
